date,site_name,jurisdiction,decision_body,action_type,outcome,description,source
2025-12-10,Bessemer Hyperscale Campus,"Bessemer, AL",City Council,rezoning,approved,Approved initial 700-acre rezoning from agricultural to industrial for Project Marvel,https://www.bhamwiki.com/w/Bessemer_Hyperscale_Data_Center
2025-12-18,Stargate Saline Township,Michigan Public Service Commission,MPSC Commissioners,regulator_approval,approved,MPSC conditionally approved DTE / Green Chile Ventures special contracts for 1.4 GW Stargate load,https://bridgemi.com/michigan-environment-watch/michigan-regulators-approve-contract-for-michigans-first-hyperscale-data-center/
2026-01-12,Project Delta,"Stokes County, NC",Board of Commissioners,rezoning,approved,Initial 1800-acre rezoning approval at Walnut Cove (later voided over notice violations),https://spectrumlocalnews.com/nc/charlotte/news/2026/01/12/stokes-county-proposed-data-center-creates-backlash
2026-01-29,Gemini Sioux Falls,"Sioux Falls, SD",City Clerk / Let Sioux Falls Vote,referendum,denied,Citizen referendum petition fell short (5012 of 6704 needed) to overturn data-center rezoning,https://dakotafreepress.com/2026/01/31/sioux-falls-data-center-referendum-petition-fails-january-chills-signature-collection/
2026-02-24,Spotsylvania SUP Proposal,"Spotsylvania County, VA",Board of Supervisors,zoning_vote,approved,4-3 vote to require Special Use Permit for all data centers in I / C / O / Village zones,http://www.fredericksburgfreepress.com/2026/02/25/spotsylvania-board-of-supervisors-vote-to-require-sup-for-data-centers-set-advertised-tax-rate/
2026-03-10,Colossus 2,Mississippi DEQ,MS Environmental Quality Permit Board,regulator_approval,approved,Approved xAI request for 41 permanent gas turbines at Southaven to power Colossus 2,https://www.mississippifreepress.org/mississippi-permit-board-grants-xais-request-for-41-southaven-gas-turbines-to-power-memphis-data-center/
2026-04-08,Project Sail (Newnan),"Coweta County, GA",Board of Commissioners,rezoning,approved,3-2 vote approving rezoning for 830-acre $17B Atlas Development campus,https://www.atlantanewsfirst.com/2026/04/08/coweta-county-commissioners-approve-rezoning-massive-data-center/
2026-04-13,Project Delta,"Stokes County, NC",Board of Commissioners,rezoning,denied,Board voided January rezoning over notice violations; developer DFC must restart approvals,https://www.wfmynews2.com/article/news/local/stokes-county-voids-data-center-rezoning-approval-notice-violation-developer-resubmit/83-a62c5473-6496-44ee-84c2-24d35494d207
2026-04-17,Stargate Saline Township,Michigan Court of Appeals,Court,court_ruling,pending,AG Nessel filed claim of appeal challenging MPSC ex parte approval of DTE-Stargate contracts,https://www.michigan.gov/ag/news/press-releases/2026/04/17/ag-nessel-files-appeal-of-mpsc-approval-of-dtes-saline-data-center-contracts
2026-04-21,Bessemer Hyperscale Campus,"Bessemer, AL",City Council,rezoning,approved,Approved 914-acre expansion rezoning from agricultural to light industrial,https://abc3340.com/news/local/alabama-bessemer-approves-rezoning-of-914-acres-for-project-marvel-data-center-april-2026
2026-04-24,Stratos Project,Utah MIDA,MIDA Board of Directors,regulator_approval,approved,Created Stratos Project Area for 40000-acre 9 GW Box Elder campus,https://utahnewsdispatch.com/2026/05/04/box-elder-commissioners-approve-data-center/
2026-05-04,Stratos Project,"Box Elder County, UT",Board of County Commissioners,zoning_vote,approved,Unanimous approval of plans for 40000-acre 9 GW Stratos campus in Hansel Valley (no public comment taken),https://utahnewsdispatch.com/2026/05/04/box-elder-commissioners-approve-data-center/
2026-05-04,Martindale-Brightwood,"Indianapolis, IN",City-County Council,rezoning,approved,Approved Metrobloks 14-acre data center rezoning at 2505 N Sherman Ave despite community opposition,https://www.aol.com/articles/indy-councilors-call-data-center-012653398.html
2026-05-05,Project Sail (Newnan),"Coweta County Superior Court, GA",Court,court_ruling,pending,Residents filed lawsuit seeking to invalidate Project Sail rezoning citing due process violations,https://thecitizen.com/2026/05/11/coweta-residents-sue-to-block-project-sail-data-center/
2026-05-12,DAMAC Edgerton,"Edgerton, KS",Planning Commission,special_use_permit,tabled,Final site plan tabled 2-2 pending developer answers on noise levels and expansion plans,https://edgertonks.org/wp-content/uploads/PC2026-05-12-PACKET.pdf
2026-05-12,Hill County Pause Sites,"Hill County, TX",Commissioners Court,moratorium_vote,approved,3-2 vote approved 1-year moratorium on data-center construction in unincorporated areas (first TX county),https://www.texastribune.org/2026/05/12/texas-hill-county-approves-data-center-construction-pause-ai/
2026-05-13,Project Bluestem,"Leavenworth County, KS",Board of County Commissioners,moratorium_vote,approved,3-2 vote enacting 90-day data-center development moratorium covering Tonganoxie site,https://www.kshb.com/news/local-news/kansas/leavenworth-county/leavenworth-county-commissioners-pass-90-day-moratorium-on-data-centers
2026-05-14,Slavic Village Campus,"Cleveland, OH",City Planning / Mayor Bibb,permit_hearing,denied,City rejected Lakeland Equity Group permit application for $1.6B 35-acre Slavic Village hyperscale,https://signalcleveland.org/cleveland-rejects-data-center-permit-for-slavic-village/
2026-05-18,Prometheus Hyperscale Natrona,"Cheyenne, WY",City Council Public Services Committee,moratorium_vote,scheduled,Hearing on Moody 12-month moratorium ordinance affecting up to 70 proposed Cheyenne-area data centers,https://capcity.news/community/city/2026/05/11/cheyenne-city-council-to-introduce-data-center-moratorium-bill-buy-thomes-avenue-senior-center/
2026-05-21,PW Digital Gateway (QTS),Virginia Supreme Court,Court,court_ruling,scheduled,Deadline for plaintiffs to file opposition to QTS petition for appeal of PW Digital Gateway zoning cancellation,https://wtop.com/prince-william-county/2026/05/whats-next-for-the-digital-gateway-data-center-appeal-to-the-virginia-supreme-court/
2026-06-10,SB Energy Portsmouth,Ohio Power Siting Board,OPSB Commissioners,interconnect_decision,scheduled,Local public hearing in Piketon-area transmission cases tied to 10 GW Portsmouth data-center campus,https://aeptransmission.com/ohio/PiketonArea/
2026-06-15,PW Digital Gateway (QTS),Virginia Supreme Court,"Writ panel (3 justices)",court_ruling,scheduled,Writ panel hearing on QTS petition for appeal (late May / early June window; mid-month estimated),https://wtop.com/prince-william-county/2026/05/whats-next-for-the-digital-gateway-data-center-appeal-to-the-virginia-supreme-court/
2026-06-25,Frederick CDI Referendum,"Frederick County Circuit Court, MD",Court,court_ruling,scheduled,Final-brief deadline in consolidated Quantum Maryland lawsuits seeking to keep CDI-OZ referendum off Nov ballot,https://www.fredericknewspost.com/news/continuing_coverage/data_centers/data-center-zone-referendum-cases-consolidated-deadlines-still-in-question/article_c5638826-5056-5bd1-8087-fb8e8debedfa.html
2026-07-15,Stratos Project,"Box Elder County, UT",County Clerk / BEAR group,referendum,scheduled,BEAR referendum signature deadline (~45 days after county approval); 5422 signatures needed to send Stratos to voters,https://utahnewsdispatch.com/2026/05/14/box-elder-county-group-wants-referendum-on-proposed-data-center/
2026-07-21,DAMAC Edgerton,"Edgerton, KS",Planning Commission,special_use_permit,scheduled,Re-list of DAMAC application after May 12 tabling; developer must return with decibel + expansion specifics (date estimated),https://johnsoncountypost.com/2026/05/14/edgerton-data-center-plan-286461/
2026-08-11,Project Bluestem,"Leavenworth County, KS",Board of County Commissioners,moratorium_vote,scheduled,90-day moratorium enacted May 13 expires unless extended; opposition group seeking 18-month extension,https://www.kshb.com/news/local-news/kansas/leavenworth-county/leavenworth-county-commissioners-pass-90-day-moratorium-on-data-centers
2026-09-15,Remington Innovation Campus,"Fauquier County, VA",Planning Commission,planning_review,scheduled,Hearings on SDC Capital Partners comprehensive-plan amendment + zoning-map amendment for 204-acre 7-building campus (date estimated; CPA deadline was July 1),https://www.fauquiernow.com/news/southern-fauquier-data-center-project-includes-land-owned-by-supervisor-culbertson-critics-call-for-recusal/article_87d079a8-6135-4828-a328-12ca6cd80b35.html
2026-09-15,Charles City Diode Campus,"Charles City County, VA",Board of Supervisors,rezoning,pending,Diode withdrew Roxbury Technology Park 515-acre application Aug 18 2025; no resubmission filed (placeholder date if refiled),https://virginiabusiness.com/developer-pulls-out-of-massive-charles-city-county-data-center/
2026-09-30,Project Delta,"Stokes County, NC",Planning Board,rezoning,scheduled,DFC Stokes LLC resubmission of voided rezoning; date TBD pending public information meetings + planning-board review,https://myfox8.com/news/north-carolina/stokes/stokes-county-votes-to-start-proposed-data-center-development-over-again-after-lawsuit/
2026-09-30,Berry Hill Megasite,"Pittsylvania County, VA",Board of Supervisors,tax_abatement,scheduled,Adoption of Stack Infrastructure SAC III performance agreement (2050 jobs / $73B over 30 yrs); final timing TBD,https://godanriver.com/news/local/business/development/article_5ec4b6da-1fb1-43c0-adca-d7035ec3b041.html
2026-11-03,Frederick CDI Referendum,"Frederick County, MD",County voters,referendum,scheduled,Ballot question on whether to keep CDI-OZ 2614-acre overlay zone (22169 valid signatures certified),https://ccanactionfund.org/frederick-county-residents-gather-an-impressive-21029-valid-signatures-to-put-controversial-data-center-expansion-project-on-the-ballot/
2026-11-30,Prometheus Hyperscale Natrona,"Natrona County, WY",Planning Department,planning_review,scheduled,Site-plan / zoning review for workforce hub + gas-fired generation (data halls fall in Converse County); using 2022 zoning resolution (date estimated),https://oilcity.news/community/business/2025/10/10/prometheus-hyperscale-plans-data-hall-energy-infrastructure-in-natrona-county/
